epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,745.68,1.24403,2.21839,2.3101,1.16934,0.56667,0.31739,0.34742,0.23249,0.53115,0.30095,0.32887,0.18243,1.27144,2.27296,2.41325,1.21615,0.0011255,0.0011255,0.0011255
41,760.078,1.25515,2.24953,2.34023,1.18507,0.58894,0.32041,0.34797,0.23492,0.54568,0.30914,0.33022,0.18777,1.25955,2.24179,2.36685,1.21576,0.00111161,0.00111161,0.00111161
42,778.188,1.26227,2.24172,2.30267,1.18464,0.63205,0.30921,0.34674,0.23174,0.59715,0.2895,0.32996,0.18877,1.29123,2.2464,2.41351,1.2247,0.00109773,0.00109773,0.00109773
43,801.47,1.34733,2.43385,2.51748,1.24091,0.61037,0.31989,0.34466,0.22725,0.54317,0.30517,0.32571,0.17262,1.30141,2.32415,2.39956,1.21569,0.00108384,0.00108384,0.00108384
44,819.073,1.21944,2.15522,2.20183,1.15379,0.58665,0.32529,0.34551,0.23236,0.56523,0.3177,0.33158,0.18404,1.26328,2.23333,2.43302,1.20945,0.00106996,0.00106996,0.00106996
45,853.421,1.20987,2.1935,2.23744,1.14567,0.54734,0.31768,0.33991,0.22677,0.54172,0.31214,0.33024,0.1815,1.28708,2.27672,2.47394,1.22388,0.00105607,0.00105607,0.00105607
46,878.598,1.30192,2.3746,2.36586,1.19528,0.58711,0.31884,0.34424,0.22949,0.55865,0.31184,0.33073,0.18414,1.29526,2.28276,2.42218,1.21176,0.00104219,0.00104219,0.00104219
47,900.021,1.23346,2.19271,2.18237,1.16173,0.56798,0.31536,0.33718,0.22107,0.5842,0.29952,0.32561,0.17582,1.31203,2.28744,2.43971,1.21697,0.0010283,0.0010283,0.0010283
48,914.431,1.14743,2.04612,2.05696,1.10867,0.55979,0.30508,0.33557,0.22486,0.55684,0.29606,0.33031,0.18489,1.29618,2.22631,2.43108,1.22111,0.00101442,0.00101442,0.00101442
49,928.674,1.24125,2.26051,2.24182,1.1633,0.63174,0.30307,0.33765,0.2246,0.59728,0.30153,0.32897,0.18188,1.31126,2.24928,2.41576,1.23144,0.00100053,0.00100053,0.00100053
50,945.909,1.22775,2.23819,2.21137,1.15335,0.62353,0.30832,0.34246,0.22946,0.61197,0.2981,0.33287,0.18685,1.28978,2.22168,2.39201,1.22697,0.000986649,0.000986649,0.000986649
51,960.944,1.19637,2.24245,2.14365,1.13629,0.63552,0.3157,0.33922,0.22882,0.6094,0.30483,0.33447,0.18166,1.26869,2.19166,2.341,1.20938,0.000972764,0.000972764,0.000972764
52,978.558,1.21915,2.2665,2.22441,1.15033,0.64893,0.32237,0.33898,0.22808,0.61973,0.31473,0.3329,0.18676,1.26586,2.17393,2.33448,1.21168,0.000958879,0.000958879,0.000958879
53,996.778,1.1851,2.12572,2.11368,1.14207,0.616,0.32119,0.33726,0.2248,0.57654,0.30922,0.32838,0.18101,1.25496,2.18312,2.33999,1.21646,0.000944995,0.000944995,0.000944995
54,1012.5,1.14987,2.10982,2.07279,1.12665,0.58358,0.32167,0.33998,0.2288,0.60456,0.29449,0.32894,0.17898,1.25306,2.20378,2.37327,1.21968,0.00093111,0.00093111,0.00093111
55,1028.53,1.1554,2.11476,2.0305,1.12392,0.60272,0.32059,0.34303,0.22557,0.55517,0.31289,0.32793,0.18009,1.26304,2.24135,2.37805,1.22365,0.000917225,0.000917225,0.000917225
56,1039.59,1.12996,2.04536,1.95897,1.10495,0.55968,0.32206,0.33993,0.22568,0.57875,0.30804,0.33231,0.18541,1.24693,2.22083,2.33783,1.21527,0.00090334,0.00090334,0.00090334
57,1054.53,1.14753,2.05003,1.97055,1.11598,0.5639,0.31971,0.34027,0.22729,0.57919,0.30464,0.33328,0.18233,1.24584,2.2461,2.37464,1.21333,0.000889456,0.000889456,0.000889456
58,1066.28,1.09452,1.98918,1.91834,1.08931,0.55846,0.32823,0.34356,0.22991,0.554,0.31329,0.33199,0.18269,1.262,2.25747,2.36828,1.2231,0.000875571,0.000875571,0.000875571
59,1078.59,1.18635,2.16734,2.16495,1.13859,0.60863,0.31476,0.34051,0.22924,0.59567,0.30716,0.33333,0.18469,1.25938,2.24779,2.31831,1.23287,0.000861686,0.000861686,0.000861686
60,1093.13,1.14386,2.06923,1.96803,1.11663,0.57463,0.31657,0.34123,0.22983,0.58902,0.31005,0.33399,0.18341,1.26646,2.26104,2.31054,1.23964,0.000847801,0.000847801,0.000847801
61,1105.53,1.1433,2.1271,1.97237,1.12427,0.62568,0.31913,0.34677,0.23359,0.59377,0.3071,0.33602,0.18851,1.26104,2.25181,2.27139,1.23286,0.000833917,0.000833917,0.000833917
62,1117.48,1.16741,2.14392,2.01886,1.12757,0.60183,0.31359,0.34576,0.22904,0.58042,0.31097,0.33385,0.17961,1.29595,2.2918,2.28654,1.23998,0.000820032,0.000820032,0.000820032
63,1129.46,1.15298,2.09187,1.93435,1.10263,0.59564,0.32497,0.34794,0.22936,0.65904,0.2908,0.33295,0.17995,1.27623,2.27657,2.30181,1.23219,0.000806147,0.000806147,0.000806147
64,1150.48,1.20074,2.20714,2.05108,1.14126,0.56794,0.31903,0.34556,0.23009,0.54902,0.31788,0.3422,0.18598,1.25762,2.23063,2.31734,1.22541,0.000792263,0.000792263,0.000792263
65,1176.72,1.11733,2.04714,1.93532,1.09348,0.64786,0.30213,0.34279,0.23071,0.59173,0.29459,0.33393,0.1834,1.25792,2.25604,2.33309,1.22787,0.000778378,0.000778378,0.000778378
66,1194.69,1.13232,2.09948,1.89542,1.10525,0.59735,0.31553,0.34366,0.23051,0.57707,0.31212,0.33716,0.18603,1.27331,2.25867,2.31307,1.23513,0.000764493,0.000764493,0.000764493
