epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,457.822,1.74308,2.23641,1.42519,0.82589,0.74341,0.83295,0.34101,1.96318,2.07039,1.50444,0.000956102,0.000956102,0.000956102
66,464.759,1.73733,2.19242,1.42249,0.83309,0.74773,0.82299,0.33065,1.99159,2.10676,1.53588,0.000944995,0.000944995,0.000944995
67,471.754,1.72964,2.18558,1.42194,0.81317,0.80613,0.83744,0.33462,2.01153,2.10233,1.54908,0.000933887,0.000933887,0.000933887
68,478.569,1.66992,2.06641,1.38652,0.84863,0.72774,0.83534,0.35338,1.9657,2.10787,1.50919,0.000922779,0.000922779,0.000922779
69,485.417,1.68508,2.05514,1.39593,0.81658,0.72855,0.81092,0.33833,2.03604,2.08354,1.54654,0.000911671,0.000911671,0.000911671
70,492.202,1.65635,2.00621,1.38076,0.83953,0.71392,0.7995,0.32906,2.04357,2.25831,1.54082,0.000900563,0.000900563,0.000900563
71,499.195,1.74091,2.18101,1.41924,0.83067,0.69537,0.7807,0.31799,2.07109,2.15824,1.58713,0.000889456,0.000889456,0.000889456
72,506.214,1.66526,2.03165,1.38407,0.81318,0.71388,0.79752,0.30748,2.07955,2.11201,1.58399,0.000878348,0.000878348,0.000878348
73,513.196,1.64906,2.04622,1.36874,0.77597,0.71901,0.78428,0.33022,2.05181,2.09825,1.54461,0.00086724,0.00086724,0.00086724
74,520.557,1.65883,1.98442,1.37768,0.80979,0.74593,0.81846,0.34995,1.97256,2.05561,1.50371,0.000856132,0.000856132,0.000856132
75,527.558,1.66996,1.94922,1.36996,0.88047,0.70062,0.8206,0.34313,1.96242,2.02293,1.50919,0.000845025,0.000845025,0.000845025
76,534.546,1.68168,1.93606,1.38522,0.80844,0.77902,0.84106,0.34671,1.96357,1.95621,1.52449,0.000833917,0.000833917,0.000833917
77,541.533,1.69625,2.01985,1.3776,0.83205,0.79298,0.84568,0.35209,1.97405,1.94551,1.49979,0.000822809,0.000822809,0.000822809
78,548.527,1.67768,2.04891,1.38061,0.85304,0.75393,0.84041,0.33324,2.01605,1.99592,1.53393,0.000811701,0.000811701,0.000811701
79,555.599,1.6573,2.00562,1.37555,0.78926,0.78558,0.8264,0.34091,1.96819,1.98945,1.52552,0.000800593,0.000800593,0.000800593
80,562.481,1.661,1.94853,1.38515,0.84486,0.73096,0.82576,0.3283,2.03526,2.00511,1.55947,0.000789486,0.000789486,0.000789486
81,569.413,1.66509,2.01754,1.3868,0.7816,0.76029,0.82615,0.3395,2.0329,2.03281,1.56503,0.000778378,0.000778378,0.000778378
82,576.718,1.68453,2.04911,1.37958,0.81626,0.73889,0.81625,0.33651,2.0128,2.03674,1.53432,0.00076727,0.00076727,0.00076727
83,584.155,1.63074,1.97126,1.34439,0.78184,0.78443,0.82975,0.34756,1.96529,2.01265,1.51105,0.000756162,0.000756162,0.000756162
84,591.181,1.67705,1.99535,1.37365,0.78813,0.77585,0.8017,0.33173,2.0249,2.03634,1.53304,0.000745055,0.000745055,0.000745055
85,598.226,1.63109,1.94519,1.36549,0.79891,0.7684,0.80504,0.3303,2.04881,2.02043,1.55173,0.000733947,0.000733947,0.000733947
86,605.23,1.65084,1.9578,1.37506,0.82606,0.78532,0.81296,0.33767,2.01056,1.98447,1.53527,0.000722839,0.000722839,0.000722839
87,612.059,1.62731,1.86471,1.35172,0.84266,0.76657,0.83707,0.33842,2.00805,1.9495,1.5429,0.000711731,0.000711731,0.000711731
88,619.166,1.62067,1.90042,1.35693,0.81944,0.7573,0.82794,0.33489,2.03444,1.96421,1.53537,0.000700623,0.000700623,0.000700623
89,626.653,1.64602,1.97525,1.37154,0.77786,0.79556,0.83247,0.35241,1.97245,1.96956,1.51478,0.000689516,0.000689516,0.000689516
90,633.645,1.65619,1.94865,1.37497,0.80038,0.78804,0.82247,0.34868,2.01151,1.96488,1.51484,0.000678408,0.000678408,0.000678408
91,640.575,1.63012,1.90678,1.35089,0.78916,0.78181,0.82036,0.3533,1.98752,1.93151,1.50223,0.0006673,0.0006673,0.0006673
92,647.45,1.61522,1.86178,1.33639,0.8219,0.76982,0.84014,0.35597,1.98752,1.92504,1.50928,0.000656192,0.000656192,0.000656192
93,654.489,1.6451,1.89248,1.35901,0.82972,0.78774,0.83792,0.36746,1.99604,1.90754,1.49942,0.000645085,0.000645085,0.000645085
94,661.428,1.62544,1.90692,1.33926,0.81468,0.78079,0.82374,0.36436,1.97201,1.93626,1.48547,0.000633977,0.000633977,0.000633977
95,668.388,1.61553,1.9313,1.35218,0.805,0.76803,0.81444,0.3642,1.96684,1.94511,1.50328,0.000622869,0.000622869,0.000622869
96,675.479,1.62278,1.9081,1.35847,0.8213,0.75557,0.81481,0.35688,1.98505,1.92917,1.51445,0.000611761,0.000611761,0.000611761
97,682.786,1.59091,1.81562,1.33085,0.81975,0.76719,0.81905,0.3543,1.99889,1.93074,1.50972,0.000600653,0.000600653,0.000600653
98,689.737,1.62843,1.90016,1.35971,0.82214,0.76495,0.83044,0.3546,2.01327,1.90155,1.52163,0.000589546,0.000589546,0.000589546
99,696.688,1.61401,1.82115,1.34139,0.8102,0.77701,0.83375,0.35518,1.98806,1.89454,1.52333,0.000578438,0.000578438,0.000578438
100,703.643,1.59202,1.82679,1.33166,0.8218,0.76926,0.82002,0.35455,1.96343,1.93919,1.49658,0.00056733,0.00056733,0.00056733
101,710.477,1.60711,1.85384,1.34056,0.79402,0.79896,0.8256,0.35338,1.96149,1.90832,1.49496,0.000556222,0.000556222,0.000556222
102,717.424,1.58764,1.78748,1.32172,0.84064,0.74542,0.81513,0.35067,1.9827,1.9332,1.5155,0.000545115,0.000545115,0.000545115
103,724.376,1.55505,1.75555,1.31345,0.82267,0.76677,0.82946,0.35062,1.99227,1.93265,1.50857,0.000534007,0.000534007,0.000534007
104,731.323,1.5972,1.80008,1.32712,0.81193,0.7959,0.83847,0.35735,1.95542,1.88437,1.49708,0.000522899,0.000522899,0.000522899
105,738.196,1.57772,1.76762,1.31996,0.82169,0.77189,0.82821,0.34154,2.05567,1.90099,1.54903,0.000511791,0.000511791,0.000511791
106,745.452,1.55005,1.74002,1.29058,0.82196,0.76083,0.826,0.34469,2.03125,1.94151,1.53303,0.000500683,0.000500683,0.000500683
107,752.304,1.55038,1.77843,1.31484,0.84953,0.76236,0.83299,0.35717,1.97364,1.89125,1.51328,0.000489576,0.000489576,0.000489576
108,759.57,1.51885,1.71471,1.28211,0.8144,0.77115,0.82482,0.35414,2.01045,1.89673,1.5291,0.000478468,0.000478468,0.000478468
109,766.559,1.55481,1.70568,1.30486,0.84443,0.75454,0.83381,0.36134,2.01405,1.88673,1.52642,0.00046736,0.00046736,0.00046736
110,773.454,1.54998,1.71054,1.2983,0.849,0.76982,0.82864,0.36159,2.01703,1.8716,1.53237,0.000456252,0.000456252,0.000456252
111,780.295,1.54558,1.73685,1.29928,0.83065,0.75311,0.81448,0.35204,2.00516,1.87523,1.52992,0.000445145,0.000445145,0.000445145
112,787.262,1.54318,1.66037,1.28655,0.80643,0.77166,0.81232,0.34797,1.98721,1.86906,1.51804,0.000434037,0.000434037,0.000434037
113,794.244,1.52008,1.72803,1.30141,0.78368,0.79256,0.82595,0.34972,2.02975,1.86788,1.53472,0.000422929,0.000422929,0.000422929
114,801.208,1.5422,1.72829,1.29838,0.8365,0.75076,0.83176,0.35157,2.03023,1.87711,1.53325,0.000411821,0.000411821,0.000411821
115,808.095,1.55466,1.70313,1.30676,0.8415,0.76982,0.82269,0.3493,2.03954,1.87058,1.53883,0.000400713,0.000400713,0.000400713
116,815.107,1.5326,1.68623,1.28932,0.83679,0.76564,0.81799,0.35533,2.02208,1.91474,1.52888,0.000389606,0.000389606,0.000389606
117,822.288,1.52912,1.68908,1.2878,0.82097,0.79205,0.84026,0.3531,2.01395,1.83923,1.5114,0.000378498,0.000378498,0.000378498
118,829.166,1.5484,1.71905,1.30234,0.8288,0.75294,0.8068,0.32192,2.11444,1.89814,1.57773,0.00036739,0.00036739,0.00036739
119,836.153,1.55913,1.75656,1.32259,0.85579,0.75461,0.82093,0.35011,2.00075,1.88969,1.51667,0.000356282,0.000356282,0.000356282
120,843.169,1.53375,1.69963,1.29312,0.82938,0.7566,0.83204,0.35791,1.98193,1.87118,1.50504,0.000345175,0.000345175,0.000345175
121,850.243,1.53013,1.67597,1.28827,0.86047,0.75057,0.83823,0.35191,2.00286,1.85947,1.51527,0.000334067,0.000334067,0.000334067
122,857.09,1.48398,1.6652,1.27044,0.8593,0.7623,0.83944,0.34704,2.00584,1.86416,1.52141,0.000322959,0.000322959,0.000322959
123,863.97,1.50193,1.65426,1.27615,0.86139,0.74802,0.83059,0.35366,2.00065,1.86723,1.52406,0.000311851,0.000311851,0.000311851
124,871.056,1.48105,1.60914,1.25965,0.8451,0.75277,0.8415,0.36046,2.00396,1.86348,1.52864,0.000300743,0.000300743,0.000300743
125,878.294,1.54037,1.73741,1.28346,0.86783,0.74006,0.83382,0.36025,1.9828,1.85461,1.51097,0.000289636,0.000289636,0.000289636
126,885.196,1.4829,1.58857,1.26763,0.87069,0.73993,0.8312,0.35866,1.99111,1.88334,1.52429,0.000278528,0.000278528,0.000278528
127,891.895,1.4938,1.62232,1.28082,0.82705,0.78688,0.83628,0.35321,2.01862,1.87336,1.54974,0.00026742,0.00026742,0.00026742
128,898.727,1.47339,1.60249,1.25787,0.83587,0.76012,0.83515,0.35289,1.98663,1.85588,1.51926,0.000256312,0.000256312,0.000256312
129,905.514,1.49579,1.65592,1.27439,0.82574,0.77517,0.83778,0.35703,1.98729,1.86749,1.51006,0.000245205,0.000245205,0.000245205
130,912.297,1.47141,1.56775,1.26048,0.82159,0.79222,0.84165,0.35966,1.97627,1.86124,1.5032,0.000234097,0.000234097,0.000234097
131,919.099,1.51722,1.68633,1.27796,0.8189,0.79383,0.83797,0.35987,1.99842,1.87204,1.5155,0.000222989,0.000222989,0.000222989
132,926.293,1.53055,1.71629,1.3024,0.78233,0.82189,0.83308,0.36412,1.98585,1.84892,1.5028,0.000211881,0.000211881,0.000211881
133,933.136,1.49775,1.66696,1.26434,0.81991,0.79774,0.83291,0.36354,1.98458,1.85506,1.49931,0.000200773,0.000200773,0.000200773
134,939.951,1.47154,1.60937,1.26654,0.81365,0.80509,0.83045,0.35828,1.9882,1.83472,1.5096,0.000189666,0.000189666,0.000189666
135,946.723,1.4602,1.60416,1.25077,0.83183,0.76615,0.81568,0.3567,1.99102,1.83072,1.52605,0.000178558,0.000178558,0.000178558
136,953.4,1.47225,1.60553,1.26034,0.84145,0.7655,0.82779,0.3619,1.99644,1.83474,1.52806,0.00016745,0.00016745,0.00016745
137,960.278,1.44401,1.60423,1.24452,0.85509,0.76295,0.83027,0.35908,1.9953,1.8411,1.52157,0.000156342,0.000156342,0.000156342
138,967.431,1.4623,1.5897,1.25086,0.84164,0.75238,0.82765,0.36295,1.97544,1.82151,1.50688,0.000145235,0.000145235,0.000145235
139,974.298,1.49387,1.63379,1.25778,0.84653,0.75473,0.84096,0.36448,1.96893,1.82813,1.5027,0.000134127,0.000134127,0.000134127
140,981.153,1.46186,1.60028,1.257,0.83884,0.75589,0.8242,0.36361,1.97067,1.83339,1.50559,0.000123019,0.000123019,0.000123019
141,1023.29,1.39125,1.44589,1.2057,0.79902,0.80158,0.83396,0.3581,1.98678,1.8462,1.5136,0.000111911,0.000111911,0.000111911
142,1030.2,1.32786,1.3149,1.16694,0.85262,0.75815,0.83635,0.36066,1.99215,1.83984,1.51488,0.000100803,0.000100803,0.000100803
143,1036.97,1.35423,1.34892,1.18039,0.85361,0.7623,0.8443,0.35808,1.9944,1.83058,1.51793,8.96957e-05,8.96957e-05,8.96957e-05
