epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,384.37,1.29783,2.26119,2.33935,1.09247,0.5644,0.30423,0.33199,0.21397,0.59705,0.28144,0.31886,0.16025,1.31565,2.27842,2.43323,1.13491,0.00103386,0.00103386,0.00103386
59,390.802,1.27885,2.2293,2.29636,1.08358,0.54352,0.3051,0.33098,0.21505,0.53818,0.29751,0.32437,0.16473,1.30566,2.21888,2.45263,1.13222,0.00102275,0.00102275,0.00102275
60,397.126,1.25615,2.21443,2.2854,1.07109,0.54938,0.3013,0.33147,0.22195,0.52454,0.29225,0.32265,0.17207,1.2878,2.2204,2.44255,1.13064,0.00101164,0.00101164,0.00101164
61,403.625,1.28128,2.22356,2.35338,1.08344,0.54995,0.2978,0.32601,0.21575,0.53183,0.28087,0.31442,0.16569,1.31372,2.23387,2.39384,1.13098,0.00100053,0.00100053,0.00100053
62,409.96,1.25101,2.1992,2.25311,1.08045,0.58525,0.30475,0.32757,0.21929,0.56513,0.29576,0.32249,0.17254,1.27882,2.19823,2.38983,1.11977,0.000989426,0.000989426,0.000989426
63,416.172,1.16292,2.02398,2.09647,1.03253,0.58428,0.30847,0.32774,0.21449,0.53271,0.29695,0.31422,0.16423,1.28712,2.23273,2.41662,1.12183,0.000978318,0.000978318,0.000978318
64,422.518,1.28708,2.28318,2.31235,1.09123,0.60481,0.2989,0.33104,0.21444,0.58346,0.28057,0.31698,0.16727,1.31314,2.2147,2.41592,1.13481,0.00096721,0.00096721,0.00096721
65,428.782,1.20919,2.12538,2.17568,1.04916,0.67134,0.29591,0.33667,0.21925,0.63392,0.27736,0.32247,0.17315,1.30074,2.18345,2.35877,1.13543,0.000956102,0.000956102,0.000956102
66,435.159,1.23507,2.18955,2.20339,1.06514,0.6513,0.30072,0.33672,0.22057,0.62064,0.28756,0.3205,0.16959,1.28385,2.19043,2.27549,1.12258,0.000944995,0.000944995,0.000944995
67,441.443,1.18254,2.09083,2.09458,1.0453,0.60204,0.31855,0.33649,0.22068,0.61665,0.29518,0.32548,0.17358,1.29447,2.17868,2.25996,1.12196,0.000933887,0.000933887,0.000933887
68,447.891,1.19456,2.12309,2.14056,1.0455,0.5382,0.30713,0.32517,0.21324,0.62138,0.27588,0.31339,0.16244,1.32639,2.27223,2.37034,1.13822,0.000922779,0.000922779,0.000922779
69,454.172,1.22922,2.14351,2.22822,1.05815,0.5931,0.28718,0.32347,0.21129,0.59265,0.28065,0.31192,0.16225,1.32307,2.27884,2.40328,1.1332,0.000911671,0.000911671,0.000911671
70,460.538,1.22947,2.13121,2.17044,1.06131,0.60168,0.2943,0.32047,0.2093,0.5943,0.27414,0.30592,0.15694,1.31354,2.30301,2.4412,1.12726,0.000900563,0.000900563,0.000900563
71,466.935,1.25452,2.18736,2.24001,1.06387,0.58709,0.29695,0.32551,0.21276,0.56867,0.29403,0.3163,0.16731,1.31017,2.26857,2.39468,1.12511,0.000889456,0.000889456,0.000889456
72,473.314,1.24841,2.11516,2.14421,1.05716,0.58029,0.30659,0.32945,0.21719,0.56533,0.30427,0.32101,0.1697,1.29863,2.27842,2.31018,1.12131,0.000878348,0.000878348,0.000878348
73,479.937,1.23023,2.18454,2.14669,1.04968,0.56008,0.31214,0.33427,0.21954,0.56121,0.299,0.32106,0.16729,1.32474,2.27564,2.29745,1.13024,0.00086724,0.00086724,0.00086724
