epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,464.215,1.64757,2.00636,1.39909,0.80238,0.70889,0.77232,0.29672,2.11101,2.09323,1.67141,0.000709434,0.000709434,0.000709434
71,470.316,1.63066,1.9787,1.38411,0.82793,0.75209,0.823,0.32971,2.05973,2.06978,1.62893,0.000695556,0.000695556,0.000695556
72,476.52,1.66586,2.03281,1.41212,0.84767,0.76012,0.82767,0.34571,2.01156,1.99867,1.6191,0.000681678,0.000681678,0.000681678
73,482.673,1.60188,1.9361,1.3825,0.83268,0.75312,0.8175,0.32503,2.06217,2.01247,1.65008,0.0006678,0.0006678,0.0006678
74,488.902,1.66852,2.06027,1.41392,0.8311,0.74985,0.81623,0.31515,2.0985,2.09193,1.657,0.000653922,0.000653922,0.000653922
75,495.264,1.60829,1.95127,1.37141,0.84565,0.74491,0.80474,0.3144,2.07445,2.06396,1.64651,0.000640045,0.000640045,0.000640045
76,501.477,1.61917,1.981,1.37926,0.80989,0.7496,0.81071,0.32448,2.06125,2.08694,1.62348,0.000626167,0.000626167,0.000626167
77,507.555,1.6475,1.97954,1.38963,0.84175,0.75127,0.80875,0.31275,2.08126,2.07609,1.64927,0.000612289,0.000612289,0.000612289
78,513.725,1.62375,1.89158,1.36835,0.83756,0.75144,0.79878,0.31407,2.09552,2.07169,1.64655,0.000598411,0.000598411,0.000598411
79,520.001,1.63395,1.93865,1.38192,0.85147,0.74525,0.80274,0.32271,2.07069,2.01342,1.6416,0.000584534,0.000584534,0.000584534
80,526.753,1.60103,1.93864,1.37973,0.82088,0.76095,0.79138,0.3169,2.0728,2.04351,1.64551,0.000570656,0.000570656,0.000570656
81,532.917,1.58655,1.8724,1.3651,0.80202,0.77885,0.80102,0.34339,2.01681,2.02582,1.60679,0.000556778,0.000556778,0.000556778
82,539.074,1.61546,1.90417,1.37903,0.80344,0.75891,0.81401,0.32929,2.0751,2.06896,1.64589,0.0005429,0.0005429,0.0005429
83,545.224,1.60316,1.88398,1.36324,0.86277,0.73246,0.82584,0.34811,2.01066,1.97261,1.604,0.000529022,0.000529022,0.000529022
84,551.501,1.61871,1.92634,1.37728,0.81643,0.7781,0.80854,0.34068,2.01994,1.98901,1.61032,0.000515145,0.000515145,0.000515145
85,557.828,1.57592,1.84466,1.34308,0.83493,0.76468,0.82054,0.34882,2.00565,1.97846,1.6087,0.000501267,0.000501267,0.000501267
86,564.212,1.57856,1.81372,1.3635,0.85807,0.74367,0.82368,0.33679,2.04015,1.97117,1.63331,0.000487389,0.000487389,0.000487389
87,570.297,1.56755,1.82364,1.3442,0.84626,0.76213,0.81913,0.31916,2.0891,1.99312,1.65971,0.000473511,0.000473511,0.000473511
88,576.396,1.56263,1.85134,1.34935,0.85848,0.74414,0.82138,0.32841,2.05716,1.95627,1.63743,0.000459634,0.000459634,0.000459634
89,582.547,1.55298,1.79951,1.33252,0.85253,0.74743,0.82244,0.32354,2.06973,1.96403,1.63526,0.000445756,0.000445756,0.000445756
90,588.841,1.56491,1.82353,1.34146,0.82899,0.76052,0.81991,0.34819,2.00454,1.99517,1.59903,0.000431878,0.000431878,0.000431878
91,595.08,1.54176,1.75961,1.31904,0.84304,0.72705,0.81229,0.33041,2.07855,1.98818,1.63356,0.000418,0.000418,0.000418
92,601.273,1.55751,1.76045,1.34317,0.79216,0.75622,0.80545,0.32967,2.0397,1.98822,1.61519,0.000404122,0.000404122,0.000404122
93,607.413,1.57005,1.78965,1.34103,0.80326,0.78369,0.8109,0.32272,2.06156,1.94287,1.62263,0.000390245,0.000390245,0.000390245
94,613.472,1.56553,1.8158,1.35423,0.80132,0.77381,0.80563,0.3214,2.07426,1.9879,1.62669,0.000376367,0.000376367,0.000376367
95,619.685,1.54684,1.75771,1.32414,0.83279,0.76196,0.81596,0.32773,2.0807,1.98277,1.63633,0.000362489,0.000362489,0.000362489
96,625.769,1.54017,1.74687,1.32686,0.79922,0.75243,0.79711,0.31721,2.12065,2.01275,1.66219,0.000348611,0.000348611,0.000348611
97,631.83,1.53206,1.74838,1.32398,0.82995,0.75345,0.81759,0.33559,2.05613,1.98828,1.62659,0.000334734,0.000334734,0.000334734
98,637.921,1.52189,1.76355,1.32908,0.83049,0.76219,0.81641,0.32988,2.0572,2.00289,1.63943,0.000320856,0.000320856,0.000320856
99,644.024,1.53682,1.73914,1.33018,0.86438,0.74876,0.82035,0.31267,2.08775,1.98404,1.66842,0.000306978,0.000306978,0.000306978
100,650.175,1.55872,1.80018,1.33287,0.8645,0.78588,0.83617,0.34018,2.04423,1.94041,1.63335,0.0002931,0.0002931,0.0002931
101,656.477,1.56023,1.75321,1.32395,0.85839,0.78149,0.83861,0.34139,2.04103,1.93187,1.62314,0.000279222,0.000279222,0.000279222
102,663.126,1.55855,1.7579,1.33047,0.85402,0.75801,0.81267,0.32439,2.09528,2.0145,1.6563,0.000265345,0.000265345,0.000265345
103,669.333,1.50167,1.65832,1.28326,0.85552,0.76598,0.82576,0.33918,2.04123,2.0135,1.62713,0.000251467,0.000251467,0.000251467
104,675.549,1.55176,1.82921,1.34247,0.85911,0.76784,0.82895,0.33822,2.03841,1.95303,1.62837,0.000237589,0.000237589,0.000237589
105,681.851,1.50666,1.64792,1.30405,0.8417,0.77115,0.81814,0.33512,2.04577,1.91981,1.63122,0.000223711,0.000223711,0.000223711
106,688.086,1.52325,1.68693,1.31854,0.85498,0.75282,0.8162,0.33715,2.03895,1.92253,1.62969,0.000209834,0.000209834,0.000209834
107,694.39,1.49822,1.6491,1.30238,0.85051,0.76581,0.83228,0.35099,2.0151,1.90549,1.61199,0.000195956,0.000195956,0.000195956
108,700.828,1.48309,1.66703,1.30048,0.86782,0.76213,0.83394,0.34887,2.02854,1.93632,1.61564,0.000182078,0.000182078,0.000182078
109,707.423,1.51723,1.74285,1.32161,0.87169,0.75907,0.82597,0.34534,2.04283,1.9568,1.61807,0.0001682,0.0001682,0.0001682
110,714.708,1.52074,1.71568,1.31561,0.84774,0.77517,0.82399,0.34157,2.06274,1.94671,1.63575,0.000154323,0.000154323,0.000154323
111,749.771,1.42284,1.50829,1.25043,0.838,0.7784,0.8214,0.33897,2.05195,1.9395,1.62748,0.000140445,0.000140445,0.000140445
112,755.998,1.38629,1.45778,1.22562,0.86082,0.7606,0.82264,0.33704,2.06315,1.93865,1.63637,0.000126567,0.000126567,0.000126567
113,762.34,1.38404,1.4522,1.23383,0.86577,0.75382,0.8241,0.33727,2.05457,1.95063,1.63691,0.000112689,0.000112689,0.000112689
114,768.357,1.39023,1.42809,1.24037,0.83688,0.7814,0.82252,0.33813,2.05067,1.95519,1.63899,9.88114e-05,9.88114e-05,9.88114e-05
115,774.367,1.3582,1.37812,1.21992,0.83884,0.79309,0.83193,0.34479,2.04534,1.95757,1.63899,8.49337e-05,8.49337e-05,8.49337e-05
116,780.339,1.35594,1.36081,1.2176,0.85633,0.78051,0.82675,0.34191,2.05891,1.9579,1.64923,7.10559e-05,7.10559e-05,7.10559e-05
117,786.55,1.35525,1.34846,1.21569,0.85451,0.77132,0.82159,0.34275,2.05984,1.93525,1.64987,5.71781e-05,5.71781e-05,5.71781e-05
118,792.731,1.37527,1.4028,1.21659,0.85865,0.76949,0.82674,0.34508,2.04978,1.91974,1.64092,4.33003e-05,4.33003e-05,4.33003e-05
119,798.719,1.36929,1.4037,1.21662,0.85267,0.76849,0.83026,0.34647,2.0399,1.91126,1.63482,2.94226e-05,2.94226e-05,2.94226e-05
120,804.621,1.36555,1.36586,1.21031,0.8519,0.76564,0.8265,0.3476,2.04158,1.90534,1.63762,1.55448e-05,1.55448e-05,1.55448e-05
