    epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,234.688,1.37088,2.36864,1.27274,1.1291,0.56025,0.29258,0.3216,0.21041,0.60382,0.26964,0.30864,0.1693,1.33138,2.37886,1.23714,1.12802,0.00111689,0.00111689,0.00111689
42,239.881,1.37926,2.38152,1.2639,1.11319,0.60903,0.28674,0.3229,0.21361,0.53863,0.27452,0.30705,0.16428,1.31758,2.34889,1.23401,1.13189,0.00110314,0.00110314,0.00110314
43,245.113,1.32755,2.34634,1.25521,1.09576,0.56578,0.28467,0.32174,0.21189,0.54691,0.2608,0.30211,0.1617,1.34133,2.32326,1.2601,1.13951,0.00108938,0.00108938,0.00108938
44,250.322,1.32756,2.36754,1.28198,1.10342,0.55514,0.27808,0.31879,0.21212,0.52663,0.26363,0.30154,0.16158,1.32164,2.31977,1.26869,1.1421,0.00107563,0.00107563,0.00107563
45,255.668,1.29485,2.19683,1.22409,1.08397,0.53063,0.28786,0.31868,0.21189,0.5604,0.26451,0.30383,0.16742,1.32371,2.31722,1.23547,1.15112,0.00106188,0.00106188,0.00106188
46,262.424,1.35917,2.3814,1.23206,1.08856,0.59719,0.30286,0.32832,0.21896,0.53319,0.2809,0.3083,0.17069,1.31459,2.32792,1.1841,1.14821,0.00104813,0.00104813,0.00104813
47,269.396,1.35853,2.32225,1.23246,1.10973,0.52207,0.31331,0.3169,0.20857,0.42167,0.29961,0.29984,0.16223,1.33849,2.38589,1.37498,1.16994,0.00103437,0.00103437,0.00103437
48,275.355,1.2696,2.22759,1.20315,1.06436,0.58601,0.28725,0.32055,0.21234,0.49826,0.27622,0.30541,0.16359,1.30712,2.35215,1.39474,1.15802,0.00102062,0.00102062,0.00102062
49,281.274,1.35361,2.37084,1.2519,1.10252,0.526,0.29956,0.32334,0.21246,0.49135,0.27943,0.30087,0.16222,1.31466,2.32917,1.32415,1.1601,0.00100687,0.00100687,0.00100687
50,287.1,1.34056,2.40551,1.25711,1.11838,0.59435,0.29986,0.32643,0.21154,0.5503,0.28965,0.30832,0.16476,1.32882,2.28067,1.26664,1.15262,0.000993115,0.000993115,0.000993115
